,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulated
AATBC,148.886379953193,1.34583362211626,0.365451472087092,3.68266028436062,0.000230812653017152,0.0337033911202302,up
AMTN,152.937179980491,5.98996849802547,1.26062684814752,4.75157934866109,2.01833924199924e-06,0.00236610786878372,up
APOBEC2,55.0383757304572,3.93479884764856,0.737590934744123,5.33466270028601,9.57223252137695e-08,0.000392222609271234,up
BEAN1,231.897597103373,2.37881581019979,0.532102094463271,4.47060035085802,7.80003342493916e-06,0.00524951771841738,up
C1QL1,68.6079383608485,3.1382206655995,0.818853955960948,3.83245466759297,0.000126870983170726,0.0262218980392357,up
C1QTNF3,539.16783824024,2.65081437907997,0.535686869093819,4.94844009068983,7.48106086576083e-07,0.00140678274916124,up
C8orf48,23.7631844696335,2.04582663777741,0.481738349572523,4.24675892959902,2.16885101033677e-05,0.0102594262792474,up
CLDN20,26.5873080335508,2.80384199228828,0.697793935326826,4.01815185019492,5.86563941104031e-05,0.0171907864608565,up
COL10A1,2018.32621293814,2.57451791511979,0.638630146087661,4.03131285125147,5.54661534487874e-05,0.0170166544544601,up
COL17A1,4016.15783782133,3.49217662915574,0.99297233731369,3.51689216096714,0.000436631136086231,0.046147903238491,up
CPS1,391.346475951054,4.26746519387446,0.807593218598947,5.28417660722544,1.26271393033872e-07,0.000425581946296535,up
CTNNA2,4.03105025048948,2.67420996478232,0.759313790023667,3.52187725274813,0.000428502499780611,0.0458480670697802,up
DESI2,2264.89266338811,1.04496146531147,0.297522585729306,3.51220887231131,0.000444398588229736,0.046263780441847,up
ENC1,2441.03720784118,1.30203216362058,0.364869552704733,3.56848674812349,0.000359049010379202,0.0417964943384673,up
FAXC,395.420854197672,2.15762706601518,0.535789866428452,4.0270023776258,5.6492461521199e-05,0.0170166544544601,up
FGF5,11.7471421075125,4.5822278439087,1.2831527805524,3.57106956658431,0.000355526442011552,0.0417638854973844,up
