,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
A1BG,14.46,22.34,13.26,12.99,25.41,48.63,78.38,31.97,20.42,12.63,16.11,15.3,21.06,36.38,25.43,47.59,22.17,12.26,10.01,16.89,18.42,30.13,19.86
A1BG.AS1,3.66,3.7,3.41,3.2,3.58,9.66,15.25,2.7,4.37,2.16,2.42,4.54,4.19,5.01,3.97,9,2.83,1.89,1.94,1.89,1.56,4.2,2.33
A1CF,0.06,0,0,0.16,0,0,0.01,0,2.04,0,0,0.02,0,0,1.87,0.01,0,0,0.01,0,0,0,0.03
A2M,119.35,464.76,828.87,165.8,178.32,124.42,85.45,63.23,501.62,76.49,1773.34,820.55,1039,563.74,434.36,151.46,232.75,128.6,197.32,52.97,42.99,494.1,351.54
A2M.AS1,1.29,2.63,6.36,1.56,1.61,0.84,0.49,0.61,3.92,1.13,6.94,3.83,4.62,5.11,3.03,1.46,2.08,1.46,1.43,0.85,0.66,3.87,1.73
A2ML1,0.17,0.04,0,0.12,1.97,49.92,0.1,0.13,0.14,0.22,0.04,0.22,0.65,0.06,0.26,1.7,0.43,3.75,0.02,2.81,0.38,0.06,0
A2MP1,0.05,0.08,0.11,0.03,0.04,0,0.01,0.08,0.13,0.01,0.42,0.42,0.04,0.17,0.22,0.12,0.08,0.09,0.13,0.12,0,0.38,0.06
A3GALT2,0.23,0.1,0.75,0.08,0.05,0.05,0.05,0,0.1,0.11,0.14,0.14,0.15,0.2,0.14,0.19,0,0,0.19,0.05,0,0.04,0
A4GALT,11.44,27.87,14.54,23.49,55.79,258.4,28.35,67.43,14.88,21.48,27.73,51.61,36.22,12.13,23.41,19.35,14.66,22.68,12.35,169.2,192.08,15.79,29.94
A4GNT,0.09,0.11,0.25,0.08,0,0.05,0.25,0,1.98,0,0.05,0.17,0.05,0.03,8.22,0.25,0.26,0.02,0.04,0.05,0.02,0.09,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,39.86,31.53,40.45,30.59,39.32,40.14,59.93,38.82,29.17,38.07,29.06,39.67,36.25,22.97,30.63,41.01,22.58,33.67,35.47,30.29,24.17,34.41,19.66
AACS,9.41,6.31,12.19,16.28,12.66,15.08,40.62,15.92,9.49,9.5,5.68,12.41,9.18,6.07,8.69,59.33,10.16,16.4,15.56,14.91,11.57,7.42,7.65
AACSP1,0.06,0.08,0.07,0.06,0.07,0,0,0.02,0.02,0.01,0.12,0.08,0.19,0.11,0.03,0.05,0.04,0,0.02,0,0,0.08,0.05
AADAC,0.14,1.14,0.53,2.08,0.98,2.19,0,0.7,11.78,0.14,2.22,10.29,1.3,0.29,9.08,0.83,0.7,0.7,9.52,2.3,123.2,3.04,0.56
AADACL2,0,0.02,0,0,0,0.37,0,0,0.01,0,0,0,0.02,0.01,0,0,0,0.02,0.01,0.03,0.23,0,0
AADACL3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0
AADACL4,0.03,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0.03,0,0.04,0.02,0,0.04,0,0,0.06,0
AADACP1,0.61,0.12,0.38,0.09,0.34,4.65,0.04,0.5,0.39,0.06,0.94,3.49,1.14,0.81,14.49,0,0.22,1.25,0.57,5.88,9.64,0,0.17
AADAT,4.62,4.78,5.75,4.99,3.28,3.85,5.2,1.44,1.73,1.17,3.31,4.69,4.16,1.9,1.77,14.51,3.3,0.41,3.84,4.56,0.4,2.58,2.99
AAGAB,23.21,19.2,18.55,27.1,21.33,36.55,48.65,16.99,24.21,26.38,10.99,20.51,16.87,11.62,24.65,29.45,14.52,24.46,14.47,22.08,15.84,17.79,13.43
AAK1,5.71,9.78,14.57,6.46,10.75,24.3,22.04,6.77,9.95,8.9,10.57,11.62,13.54,10.9,13.89,7.85,11,14.07,6.77,15.27,16.74,13.18,11.96
AAMDC,18.91,33.67,36.71,19.92,29.46,29.21,49.48,26.03,29.97,35.97,65.71,28.16,50.69,21.14,24.44,49.55,26.49,30.42,33.21,26.15,8.63,24.15,18.97
AAMP,108.18,67.8,77.1,104.8,134.73,146.2,151.59,78.11,89.21,98.51,91.46,102.1,79.99,57.22,85.08,88.05,65.12,101.79,86.29,67.95,94.5,61.89,92.08
AANAT,0.19,0.16,0.12,0.02,0.07,0.27,0.1,0,0.35,0.36,0.07,0.36,0.16,0.14,0.06,0.07,0.14,0.05,0.1,0.05,0.11,0.24,0.4
AAR2,29.85,18.54,16.4,20.91,15.89,22.99,21.91,7.36,17.78,13.71,16.28,18.91,18.18,11.47,16.26,48.72,10.68,20.1,17.8,13.44,40.41,15.17,10
AARD,0.37,2.1,2.75,3.82,0.04,0.65,0.24,0,0.9,0,1.13,1,2.33,0.95,0.27,0.37,0.47,0.18,4.71,0.08,0.05,0.78,0.19
AARS1,52.66,32.04,37.55,46.9,44.06,75.24,61.05,72.18,37.2,60.85,38.56,43.04,35.05,26.13,34.34,56.3,67.67,78.79,38.7,76.19,76.59,33.28,53.68
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,14.11,7.58,6.11,5.88,6.02,11.46,11.99,17.86,6.2,9.17,5.72,7.82,7.27,5.08,4.54,15.58,5.24,4.04,7.1,9.99,8.34,5.62,3.12
AARSD1,58.82,41.84,36.01,34.36,42.63,48.16,63.99,95.32,37.06,53.74,39.35,41.39,48.71,28.99,31.13,61.42,32.69,40.91,36.25,47.15,28.82,36.14,33.04
AARSD1P1,1.18,0,0.76,0.8,0.61,0.25,0.58,0.81,0.33,0.14,0.22,0.59,0.55,0.18,0.1,0.64,0.17,0.06,0.09,0.07,0.06,0.2,0.28
AASDH,5.74,3.42,5.19,4.39,5.13,6.08,6.65,3.19,3.44,2.15,3.76,4.49,3.72,3.91,3.18,5.56,3.14,4.77,4.53,5.1,2.16,4.04,3.13
AASDHPPT,21.5,13.83,14.95,15.82,13.28,30.08,40.07,13.78,12,14.5,15.08,21.47,14.15,9.37,11.08,12.76,10.44,8.6,18.7,11.46,7.08,10.81,8.91
AASS,6.99,10.84,8.44,13.08,11.54,22.79,3.48,5.42,18.15,4.36,17.37,73.41,14.82,8.1,6.97,5.76,6.65,6.13,5.76,9.99,5.13,24.55,5.63
AATBC,5.21,2.75,10.22,2.06,1.45,1.47,0.58,0.91,2.17,0.87,0.7,1.94,1.96,0.49,1.36,2.18,0.62,0.95,1.8,1.47,0.43,1.02,0.72
AATF,33.39,28.46,26.36,31.31,38.6,58.8,25.94,38.15,37.69,55.91,31.44,31.54,27.43,24.29,27.62,54.88,41.82,32.96,33.45,45.4,22.88,23.9,27.7
AATK,3.9,16.9,27.28,17.3,3.23,3.96,44.49,1.51,3.94,1.15,21.39,7.15,7.87,1.87,6.71,1.16,3.11,6.74,4.5,2.23,1.82,8.05,2.88
ABALON,0.66,1.03,0.46,1.08,0.97,0.11,1.74,0.13,1.05,0.81,1.55,0.7,0.76,0.39,0.91,1.23,0.37,0.79,0.25,0.35,0.18,0.06,0.53
ABAT,9.2,4.86,5,5.2,6.53,1.97,113.28,2.24,5.39,1.18,4.25,5.38,4.65,6.56,5.01,8.77,1.38,2.66,3.04,1.37,0.61,4.91,5.37
ABCA1,2.36,7.43,8.79,8.58,15.32,7.59,3.51,5.15,6.83,4.75,6.22,14.13,5.87,5.11,7.53,5.27,5.48,2.33,3.09,8.66,3.72,22.42,5.93
ABCA10,0.38,2.23,2.66,0.99,0.39,0.8,4.17,0.51,1.43,0.31,4.62,2.93,2.8,3.08,3.51,1.59,1.34,1.02,1.16,1.49,0.25,2.16,1.4
ABCA11P,2.78,3.55,2.98,1.88,3.51,1.16,20.62,2.64,2.14,3.07,3.45,2.53,2.19,1.98,2.38,9.36,1.09,2.11,2.23,2.01,0.4,1.77,0.91
ABCA12,1.71,1.76,1.1,2.31,1.35,5.41,1.53,1.31,0.6,2.48,0.03,1.15,0.17,0.15,0.32,23.59,0.57,1.34,0.69,1.2,3.56,0.03,1.06
ABCA13,1.37,4.35,2.86,0.76,4.7,6.6,0.13,0.07,0.74,1.16,0.89,4.76,8.48,8.13,2.2,0,0.32,2.04,1.99,19.5,7.5,0.42,2.74
ABCA17P,1.68,0.63,0.71,0.24,0.48,1.17,2.96,0.19,0.43,0.02,0.59,0.75,1.05,2,0.18,0.52,0.33,0.19,1.4,1.25,0.02,0.52,0.04
ABCA2,17.61,33.66,39.39,29.07,25.53,24.42,153.53,17.27,22.1,19.01,18.37,27.16,23.47,23.36,28.98,43.91,15.96,18.24,19.75,34.9,7.32,22.92,12.01
ABCA3,11.89,60.84,154.24,107.25,3.7,25.32,63.47,1.18,50.12,8.64,53.84,146.12,90.08,3.79,31.58,6.64,56.14,10.65,30.57,6.41,4.34,173.6,5.64
ABCA4,32.38,1.27,1.9,1.06,2.62,0.6,0.47,0.33,0.31,12.06,0.54,18.94,2.03,0.57,0.41,0.34,6.35,0.3,0.3,1.96,0.35,0.64,0.41
ABCA5,9.27,7.43,9.29,5.4,8.95,13.39,60.74,8.82,7.38,5.78,8.73,9.63,15.1,10.71,11.54,10.19,4.86,5.83,7.93,16.07,5.36,7.09,7.07
ABCA6,1.6,6.78,5.73,1.24,2.82,1.59,1.23,0.63,2.52,0.95,17.67,8.34,8.5,7.02,10.59,1.27,4.45,2.4,1.24,1.12,1,3.92,2.85
ABCA7,97.86,36.76,40.79,29.15,25.56,14.16,77.21,52.59,17.73,39.67,19.66,34.89,36.33,27.53,33.8,36.42,18.78,70.2,18.71,16.66,11.75,29.72,40.35
ABCA8,1.41,11.09,10.87,3.86,0.95,1.19,5.06,4.41,3.14,0.27,35.09,9.56,16.82,8.42,3.71,1.56,2.02,1.86,2.82,0.15,0.14,4.99,1.94
ABCA9,0.63,1.66,1.43,0.46,0.69,0.64,1.35,0.22,1.06,0.29,5.79,2.09,2.69,1.7,1.71,0.59,1.05,0.8,0.57,0.44,0.4,1.04,1.04
