,log2FoldChange,logCPM,LR,PValue,padj
ENSG00000186847,10.3937564908992,6.63406979272295,82.5409335291548,1.03504303794427E-19,2.71564241865438E-15
ENSG00000123500,5.12434852701561,5.84955795818158,51.1903456184938,8.38299012229385E-13,1.030684836284E-08
ENSG00000139289,3.42031170124869,6.91867628229728,50.5217587004581,1.1785091698182E-12,1.030684836284E-08
ENSG00000145681,9.67123597584207,1.90663330745505,44.687732098694,2.31100786341104E-11,1.21267826624631E-07
ENSG00000205426,7.25755152561558,3.02998074306698,44.9670163826851,2.00381342546505E-11,1.21267826624631E-07
ENSG00000175065,9.90319659198839,-0.417480532487731,44.0801179054431,3.15206379274506E-11,1.37834496217087E-07
ENSG00000111799,4.45776688796766,6.97813698424189,43.5787074087337,4.07246043028185E-11,1.52641634727578E-07
ENSG00000163202,11.5911765361025,1.14544412322143,42.6225655049698,6.63890625157228E-11,2.12623801288223E-07
ENSG00000198910,6.24970523888376,3.85191515127863,42.4386156502319,7.29357095549799E-11,2.12623801288223E-07
ENSG00000099953,5.60351726666507,7.82050743403453,42.1831259859641,8.31140803035025E-11,2.180664124923E-07
ENSG00000215853,8.67633904591177,-1.54589935036533,40.1954294664513,2.29785220235776E-10,5.48079529393278E-07
ENSG00000203785,8.65276601767373,1.96189446868864,38.9368523436939,4.37738510708997E-10,9.57078775455996E-07
ENSG00000197632,6.93018457320267,2.45774820708983,37.8529210832578,7.62840764058867E-10,1.53958870204711E-06
ENSG00000187689,10.8090515995539,2.29617762750205,37.428720531974,9.48155547209715E-10,1.77691122086724E-06
ENSG00000122691,4.84402584935322,2.70575235053251,34.9813885297768,3.32871855461451E-09,5.8223725811614E-06
ENSG00000134013,3.80652126333432,5.83069263017907,34.8485231796094,3.56379783416718E-09,5.84396023594026E-06
ENSG00000065618,6.74054427705498,6.60697793563745,34.4331924293412,4.4113573466835E-09,6.80828133558441E-06
ENSG00000137809,4.73176648048571,5.0542970869693,34.1409457509154,5.12611998017001E-09,7.37779316756812E-06
ENSG00000170558,5.14219549933808,1.77817400209471,34.0603983366324,5.3427628991041E-09,7.37779316756812E-06
ENSG00000142156,3.76699605066863,8.84277675274611,33.5638719599727,6.89617902502865E-09,9.04675245398384E-06
ENSG00000228502,5.02144933175239,0.0176000986234,32.2916324627021,1.32683483610214E-08,1.65772217118151E-05
ENSG00000060982,4.86216342652379,6.43622501563982,31.5681682939962,1.92560305744779E-08,2.22331859254867E-05
ENSG00000153246,3.49281187317143,4.43149113963337,31.4620593753438,2.03375562073286E-08,2.22331859254867E-05
ENSG00000267013,6.44767155478652,0.758396670736096,31.4627318546539,2.03305138071519E-08,2.22331859254867E-05
ENSG00000172061,5.45183620331097,4.43767800179382,31.1296929931155,2.41351063198672E-08,2.49934374504111E-05
ENSG00000257453,3.82246853350195,2.80164198490887,31.0794738736652,2.47676706068029E-08,2.49934374504111E-05
ENSG00000038427,3.3947732934518,7.6474753853404,30.6967210745687,3.01674402937903E-08,2.93149307773398E-05
ENSG00000183715,7.66375302761644,-1.20384714209018,30.3574299658887,3.59327967070952E-08,3.36703138287163E-05
ENSG00000058085,4.83516491808424,8.46972258153677,30.1488218993027,4.00130179983916E-08,3.62007432146138E-05
ENSG00000141668,7.06185138127195,-0.616415641575624,30.0761230503812,4.15414624239678E-08,3.63307783205881E-05
ENSG00000166342,7.03783545238419,1.66403405561273,29.8308002015383,4.71442521102246E-08,3.78204438571477E-05
ENSG00000169439,3.1259195375869,5.91017983553288,29.8134005589806,4.7569258958184E-08,3.78204438571477E-05
ENSG00000176170,3.04699687066188,5.12279169002832,29.901268968873,4.5461519949852E-08,3.78204438571477E-05
ENSG00000272887,6.45421499228139,-1.11323324352744,29.6842239696641,5.08469451804949E-08,3.92373911970777E-05
ENSG00000226145,7.37372562272763,0.851919874586428,29.4831366617952,5.64053474357298E-08,4.22830600191783E-05
ENSG00000211448,4.77122561539968,4.01442939956423,29.2048569149084,6.51157746156782E-08,4.69510817249229E-05
ENSG00000225968,4.67769257167996,2.53187232524989,29.1725257726158,6.62114580105251E-08,4.69510817249229E-05
ENSG00000253910,3.9796279065717,2.79678638913548,28.9812031554964,7.30840293507787E-08,5.04606757388521E-05
ENSG00000109705,5.47017240104938,0.097620097432912,28.8623830851889,7.77075009771977E-08,5.09702925784684E-05
ENSG00000198768,6.86612755253956,2.30663891401534,28.8648010369247,7.76105542498689E-08,5.09702925784684E-05
ENSG00000171217,5.08510079954492,-0.212146989657726,28.7061955899385,8.42338151641304E-08,5.39034782551534E-05
ENSG00000215218,5.54190742268934,1.58776192597074,28.4449113947429,9.64028133442729E-08,6.02219193741354E-05
ENSG00000126010,6.25991068361964,0.010792585700652,28.0900332948432,1.15800688560334E-07,7.06572712966854E-05
ENSG00000080573,3.87342547075583,5.28754715604063,27.8099196236714,1.33838134150153E-07,7.80335805710573E-05
ENSG00000146197,4.74978902235474,5.58402924840411,27.8252593991015,1.32781176337409E-07,7.80335805710573E-05
ENSG00000082196,3.97764038732736,3.97115944263194,27.7606262466749,1.3729201835547E-07,7.83071888172277E-05
ENSG00000006327,3.0093849124665,6.47635234377844,27.2329141484757,1.80361942591922E-07,0.000100684176336
ENSG00000070193,6.49189993336248,1.83886882053599,27.0559141061158,1.97654582710689E-07,0.000103717265732
ENSG00000164116,2.82043601314377,5.5734686619232,27.0637487826974,1.96855114579777E-07,0.000103717265732
ENSG00000244242,5.00795391133064,3.3466509374317,27.0613908058881,1.97095386346436E-07,0.000103717265732
ENSG00000203805,5.79293408358176,1.21866123275029,26.7908165887734,2.26712156959255E-07,0.000116632291415
ENSG00000204262,3.53782700738738,7.39412227834807,26.6617987530027,2.42366239389692E-07,0.00012228775044
ENSG00000131620,3.54837213873304,4.98194973394026,26.5430428186305,2.57731198067288E-07,0.000127586668749
ENSG00000123689,4.43270803643992,5.31342256272602,26.4302757353623,2.73224213477745E-07,0.000132751549797
ENSG00000142627,2.78565772342681,6.54730392287917,26.3860650449587,2.79550027466434E-07,0.00013323003667
